tool_name,tool_description,server_key,server_id,server_hint,server_name,server_version,transport_hint,url_origin,url_path,db_source,db_key,tool_schema
list_issues,List issues in a GitHub repository with filtering options,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""direction"": {""type"": ""string"", ""enum"": [""asc"", ""desc""]}, ""labels"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""page"": {""type"": ""number""}, ""per_page"": {""type"": ""number""}, ""since"": {""type"": ""string""}, ""sort"": {""type"": ""string"", ""enum"": [""created"", ""updated"", ""comments""]}, ""state"": {""type"": ""string"", ""enum"": [""open"", ""closed"", ""all""]}}, ""required"": [""owner"", ""repo""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
update_issue,Update an existing issue in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""issue_number"": {""type"": ""number""}, ""title"": {""type"": ""string""}, ""body"": {""type"": ""string""}, ""assignees"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""milestone"": {""type"": ""number""}, ""labels"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""state"": {""type"": ""string"", ""enum"": [""open"", ""closed""]}}, ""required"": [""owner"", ""repo"", ""issue_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
add_issue_comment,Add a comment to an existing issue,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""issue_number"": {""type"": ""number""}, ""body"": {""type"": ""string""}}, ""required"": [""owner"", ""repo"", ""issue_number"", ""body""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
search_code,Search for code across GitHub repositories,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""q"": {""type"": ""string""}, ""order"": {""type"": ""string"", ""enum"": [""asc"", ""desc""]}, ""page"": {""type"": ""number"", ""minimum"": 1}, ""per_page"": {""type"": ""number"", ""minimum"": 1, ""maximum"": 100}}, ""required"": [""q""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
search_issues,Search for issues and pull requests across GitHub repositories,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""q"": {""type"": ""string""}, ""order"": {""type"": ""string"", ""enum"": [""asc"", ""desc""]}, ""page"": {""type"": ""number"", ""minimum"": 1}, ""per_page"": {""type"": ""number"", ""minimum"": 1, ""maximum"": 100}, ""sort"": {""type"": ""string"", ""enum"": [""comments"", ""reactions"", ""reactions-+1"", ""reactions--1"", ""reactions-smile"", ""reactions-thinking_face"", ""reactions-heart"", ""reactions-tada"", ""interactions"", ""created"", ""updated""]}}, ""required"": [""q""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
search_users,Search for users on GitHub,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""q"": {""type"": ""string""}, ""order"": {""type"": ""string"", ""enum"": [""asc"", ""desc""]}, ""page"": {""type"": ""number"", ""minimum"": 1}, ""per_page"": {""type"": ""number"", ""minimum"": 1, ""maximum"": 100}, ""sort"": {""type"": ""string"", ""enum"": [""followers"", ""repositories"", ""joined""]}}, ""required"": [""q""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_issue,Get details of a specific issue in a GitHub repository.,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""issue_number"": {""type"": ""number""}}, ""required"": [""owner"", ""repo"", ""issue_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_pull_request,Get details of a specific pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
list_pull_requests,List and filter repository pull requests,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""state"": {""type"": ""string"", ""enum"": [""open"", ""closed"", ""all""], ""description"": ""State of the pull requests to return""}, ""head"": {""type"": ""string"", ""description"": ""Filter by head user or head organization and branch name""}, ""base"": {""type"": ""string"", ""description"": ""Filter by base branch name""}, ""sort"": {""type"": ""string"", ""enum"": [""created"", ""updated"", ""popularity"", ""long-running""], ""description"": ""What to sort results by""}, ""direction"": {""type"": ""string"", ""enum"": [""asc"", ""desc""], ""description"": ""The direction of the sort""}, ""per_page"": {""type"": ""number"", ""description"": ""Results per page (max 100)""}, ""page"": {""type"": ""number"", ""description"": ""Page number of the results""}}, ""required"": [""owner"", ""repo""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
create_pull_request_review,Create a review on a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}, ""commit_id"": {""type"": ""string"", ""description"": ""The SHA of the commit that needs a review""}, ""body"": {""type"": ""string"", ""description"": ""The body text of the review""}, ""event"": {""type"": ""string"", ""enum"": [""APPROVE"", ""REQUEST_CHANGES"", ""COMMENT""], ""description"": ""The review action to perform""}, ""comments"": {""type"": ""array"", ""items"": {""anyOf"": [{""type"": ""object"", ""properties"": {""path"": {""type"": ""string"", ""description"": ""The relative path to the file being commented on""}, ""position"": {""type"": ""number"", ""description"": ""The position in the diff where you want to add a review comment""}, ""body"": {""type"": ""string"", ""description"": ""Text of the review comment""}}, ""required"": [""path"", ""position"", ""body""], ""additionalProperties"": false}, {""type"": ""object"", ""properties"": {""path"": {""type"": ""string"", ""description"": ""The relative path to the file being commented on""}, ""line"": {""type"": ""number"", ""description"": ""The line number in the file where you want to add a review comment""}, ""body"": {""type"": ""string"", ""description"": ""Text of the review comment""}}, ""required"": [""path"", ""line"", ""body""], ""additionalProperties"": false}]}, ""description"": ""Comments to post as part of the review (specify either position or line, not both)""}}, ""required"": [""owner"", ""repo"", ""pull_number"", ""body"", ""event""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
merge_pull_request,Merge a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}, ""commit_title"": {""type"": ""string"", ""description"": ""Title for the automatic commit message""}, ""commit_message"": {""type"": ""string"", ""description"": ""Extra detail to append to automatic commit message""}, ""merge_method"": {""type"": ""string"", ""enum"": [""merge"", ""squash"", ""rebase""], ""description"": ""Merge method to use""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_pull_request_files,Get the list of files changed in a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_pull_request_status,Get the combined status of all status checks for a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
update_pull_request_branch,Update a pull request branch with the latest changes from the base branch,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}, ""expected_head_sha"": {""type"": ""string"", ""description"": ""The expected SHA of the pull request's HEAD ref""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_pull_request_comments,Get the review comments on a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_pull_request_reviews,Get the reviews on a pull request,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""pull_number"": {""type"": ""number"", ""description"": ""Pull request number""}}, ""required"": [""owner"", ""repo"", ""pull_number""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
