tool_name,tool_description,server_key,server_id,server_hint,server_name,server_version,transport_hint,url_origin,url_path,db_source,db_key,tool_schema
create_or_update_file,Create or update a single file in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""path"": {""type"": ""string"", ""description"": ""Path where to create/update the file""}, ""content"": {""type"": ""string"", ""description"": ""Content of the file""}, ""message"": {""type"": ""string"", ""description"": ""Commit message""}, ""branch"": {""type"": ""string"", ""description"": ""Branch to create/update the file in""}, ""sha"": {""type"": ""string"", ""description"": ""SHA of the file being replaced (required when updating existing files)""}}, ""required"": [""owner"", ""repo"", ""path"", ""content"", ""message"", ""branch""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
search_repositories,Search for GitHub repositories,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search query (see GitHub search syntax)""}, ""page"": {""type"": ""number"", ""description"": ""Page number for pagination (default: 1)""}, ""perPage"": {""type"": ""number"", ""description"": ""Number of results per page (default: 30, max: 100)""}}, ""required"": [""query""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
create_repository,Create a new GitHub repository in your account,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""name"": {""type"": ""string"", ""description"": ""Repository name""}, ""description"": {""type"": ""string"", ""description"": ""Repository description""}, ""private"": {""type"": ""boolean"", ""description"": ""Whether the repository should be private""}, ""autoInit"": {""type"": ""boolean"", ""description"": ""Initialize with README.md""}}, ""required"": [""name""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
get_file_contents,Get the contents of a file or directory from a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""path"": {""type"": ""string"", ""description"": ""Path to the file or directory""}, ""branch"": {""type"": ""string"", ""description"": ""Branch to get contents from""}}, ""required"": [""owner"", ""repo"", ""path""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
push_files,Push multiple files to a GitHub repository in a single commit,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""branch"": {""type"": ""string"", ""description"": ""Branch to push to (e.g., 'main' or 'master')""}, ""files"": {""type"": ""array"", ""items"": {""type"": ""object"", ""properties"": {""path"": {""type"": ""string""}, ""content"": {""type"": ""string""}}, ""required"": [""path"", ""content""], ""additionalProperties"": false}, ""description"": ""Array of files to push""}, ""message"": {""type"": ""string"", ""description"": ""Commit message""}}, ""required"": [""owner"", ""repo"", ""branch"", ""files"", ""message""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
create_issue,Create a new issue in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""title"": {""type"": ""string""}, ""body"": {""type"": ""string""}, ""assignees"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""milestone"": {""type"": ""number""}, ""labels"": {""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""owner"", ""repo"", ""title""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
create_pull_request,Create a new pull request in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""title"": {""type"": ""string"", ""description"": ""Pull request title""}, ""body"": {""type"": ""string"", ""description"": ""Pull request body/description""}, ""head"": {""type"": ""string"", ""description"": ""The name of the branch where your changes are implemented""}, ""base"": {""type"": ""string"", ""description"": ""The name of the branch you want the changes pulled into""}, ""draft"": {""type"": ""boolean"", ""description"": ""Whether to create the pull request as a draft""}, ""maintainer_can_modify"": {""type"": ""boolean"", ""description"": ""Whether maintainers can modify the pull request""}}, ""required"": [""owner"", ""repo"", ""title"", ""head"", ""base""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
fork_repository,Fork a GitHub repository to your account or specified organization,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""organization"": {""type"": ""string"", ""description"": ""Optional: organization to fork to (defaults to your personal account)""}}, ""required"": [""owner"", ""repo""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
create_branch,Create a new branch in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string"", ""description"": ""Repository owner (username or organization)""}, ""repo"": {""type"": ""string"", ""description"": ""Repository name""}, ""branch"": {""type"": ""string"", ""description"": ""Name for the new branch""}, ""from_branch"": {""type"": ""string"", ""description"": ""Optional: source branch to create from (defaults to the repository's default branch)""}}, ""required"": [""owner"", ""repo"", ""branch""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
list_commits,Get list of commits of a branch in a GitHub repository,,,mcpToolCache,,,,,,/Users/ashwin/Library/Application Support/Code/User/workspaceStorage/ff2db64de7b17228a7c19604dafe95e0/state.vscdb,mcpToolCache,"{""type"": ""object"", ""properties"": {""owner"": {""type"": ""string""}, ""repo"": {""type"": ""string""}, ""sha"": {""type"": ""string""}, ""page"": {""type"": ""number""}, ""perPage"": {""type"": ""number""}}, ""required"": [""owner"", ""repo""], ""additionalProperties"": false, ""$schema"": ""http://json-schema.org/draft-07/schema#""}"
